sample,free_falling_tau_rh,accelerating_tau_rh,stationary_tau_rh,order_preserved
0,13.01124937221418,20.59843031437451,30.880493469881515,True
1,13.26246163290196,20.73773366950832,30.483089292258807,True
2,13.606252286613246,20.938247712797715,30.95954992292595,True
3,13.591102021884554,20.695290850592333,30.58550649540952,True
4,12.72417162680759,20.497470834570276,30.272381104446687,True
5,13.357145715629036,20.49231147353675,30.527496440823253,True
6,12.883659451006297,20.768827285181846,30.290524377276334,True
7,13.01624289099831,21.051383355873675,30.155102454663375,True
8,12.894908720553794,20.931839655744607,30.414017708596713,True
9,12.953254129189197,20.63175627172272,30.284870753098506,True
